,date,county,state,cases,deaths,Week,Weekly Cases,Weekly Deaths
0,2020-07-01,Alameda,California,6177,136.0,Wednesday,0.0,0.0
399,2020-07-08,Alameda,California,7266,142.0,Wednesday,1089.0,6.0
798,2020-07-15,Alameda,California,8499,154.0,Wednesday,1233.0,12.0
1197,2020-07-22,Alameda,California,9664,171.0,Wednesday,1165.0,17.0
1596,2020-07-29,Alameda,California,10896,181.0,Wednesday,1232.0,10.0
2002,2020-08-05,Alameda,California,12157,193.0,Wednesday,1261.0,12.0
2408,2020-08-12,Alameda,California,14120,212.0,Wednesday,1963.0,19.0
2814,2020-08-19,Alameda,California,15857,228.0,Wednesday,1737.0,16.0
3220,2020-08-26,Alameda,California,17406,243.0,Wednesday,1549.0,15.0
3626,2020-09-02,Alameda,California,18716,274.0,Wednesday,1310.0,31.0
4032,2020-09-09,Alameda,California,19617,303.0,Wednesday,901.0,29.0
4438,2020-09-16,Alameda,California,20118,356.0,Wednesday,501.0,53.0
4844,2020-09-23,Alameda,California,20860,395.0,Wednesday,742.0,39.0
5250,2020-09-30,Alameda,California,21404,412.0,Wednesday,544.0,17.0
5656,2020-10-07,Alameda,California,21866,440.0,Wednesday,462.0,28.0
6062,2020-10-14,Alameda,California,22346,442.0,Wednesday,480.0,2.0
6468,2020-10-21,Alameda,California,22953,435.0,Wednesday,607.0,-7.0
6874,2020-10-28,Alameda,California,23597,462.0,Wednesday,644.0,27.0
7280,2020-11-04,Alameda,California,24254,466.0,Wednesday,657.0,4.0
7686,2020-11-11,Alameda,California,25270,483.0,Wednesday,1016.0,17.0
8092,2020-11-18,Alameda,California,26676,494.0,Wednesday,1406.0,11.0
8498,2020-11-25,Alameda,California,28246,502.0,Wednesday,1570.0,8.0
8904,2020-12-02,Alameda,California,30351,520.0,Wednesday,2105.0,18.0
9310,2020-12-09,Alameda,California,34394,526.0,Wednesday,4043.0,6.0
9716,2020-12-16,Alameda,California,40047,563.0,Wednesday,5653.0,37.0
10122,2020-12-23,Alameda,California,45772,616.0,Wednesday,5725.0,53.0
10528,2020-12-30,Alameda,California,50967,625.0,Wednesday,5195.0,9.0
10934,2021-01-06,Alameda,California,56453,697.0,Wednesday,5486.0,72.0
11340,2021-01-13,Alameda,California,62964,776.0,Wednesday,6511.0,79.0
11746,2021-01-20,Alameda,California,68670,788.0,Wednesday,5706.0,12.0
12152,2021-01-27,Alameda,California,72045,929.0,Wednesday,3375.0,141.0
12558,2021-02-03,Alameda,California,74980,999.0,Wednesday,2935.0,70.0
12964,2021-02-10,Alameda,California,77237,1063.0,Wednesday,2257.0,64.0
13370,2021-02-17,Alameda,California,79037,1125.0,Wednesday,1800.0,62.0
13776,2021-02-24,Alameda,California,79969,1218.0,Wednesday,932.0,93.0
14182,2021-03-03,Alameda,California,80971,1271.0,Wednesday,1002.0,53.0
14588,2021-03-10,Alameda,California,81679,1311.0,Wednesday,708.0,40.0
14994,2021-03-17,Alameda,California,82280,1358.0,Wednesday,601.0,47.0
15400,2021-03-24,Alameda,California,82839,1377.0,Wednesday,559.0,19.0
15806,2021-03-31,Alameda,California,83416,1423.0,Wednesday,577.0,46.0
16212,2021-04-07,Alameda,California,84112,1432.0,Wednesday,696.0,9.0
16618,2021-04-14,Alameda,California,84942,1475.0,Wednesday,830.0,43.0
17024,2021-04-21,Alameda,California,85673,1477.0,Wednesday,731.0,2.0
17430,2021-04-28,Alameda,California,86322,1491.0,Wednesday,649.0,14.0
17836,2021-05-05,Alameda,California,87393,1539.0,Wednesday,1071.0,48.0
18242,2021-05-12,Alameda,California,87898,1614.0,Wednesday,505.0,75.0
18648,2021-05-19,Alameda,California,88327,1674.0,Wednesday,429.0,60.0
19054,2021-05-26,Alameda,California,88728,1679.0,Wednesday,401.0,5.0
19460,2021-06-02,Alameda,California,88991,1689.0,Wednesday,263.0,10.0
19866,2021-06-09,Alameda,California,89222,1270.0,Wednesday,231.0,-419.0
20272,2021-06-16,Alameda,California,89557,1275.0,Wednesday,335.0,5.0
20678,2021-06-23,Alameda,California,89840,1280.0,Wednesday,283.0,5.0
21084,2021-06-30,Alameda,California,90297,1271.0,Wednesday,457.0,-9.0
1,2020-07-01,Alpine,California,1,0.0,Wednesday,0.0,0.0
400,2020-07-08,Alpine,California,1,0.0,Wednesday,0.0,0.0
799,2020-07-15,Alpine,California,1,0.0,Wednesday,0.0,0.0
1198,2020-07-22,Alpine,California,2,0.0,Wednesday,1.0,0.0
1597,2020-07-29,Alpine,California,2,0.0,Wednesday,0.0,0.0
2003,2020-08-05,Alpine,California,2,0.0,Wednesday,0.0,0.0
2409,2020-08-12,Alpine,California,2,0.0,Wednesday,0.0,0.0
2815,2020-08-19,Alpine,California,2,0.0,Wednesday,0.0,0.0
3221,2020-08-26,Alpine,California,2,0.0,Wednesday,0.0,0.0
3627,2020-09-02,Alpine,California,2,0.0,Wednesday,0.0,0.0
4033,2020-09-09,Alpine,California,2,0.0,Wednesday,0.0,0.0
4439,2020-09-16,Alpine,California,2,0.0,Wednesday,0.0,0.0
4845,2020-09-23,Alpine,California,2,0.0,Wednesday,0.0,0.0
5251,2020-09-30,Alpine,California,2,0.0,Wednesday,0.0,0.0
5657,2020-10-07,Alpine,California,3,0.0,Wednesday,1.0,0.0
6063,2020-10-14,Alpine,California,3,0.0,Wednesday,0.0,0.0
6469,2020-10-21,Alpine,California,3,0.0,Wednesday,0.0,0.0
6875,2020-10-28,Alpine,California,3,0.0,Wednesday,0.0,0.0
7281,2020-11-04,Alpine,California,4,0.0,Wednesday,1.0,0.0
7687,2020-11-11,Alpine,California,9,0.0,Wednesday,5.0,0.0
8093,2020-11-18,Alpine,California,12,0.0,Wednesday,3.0,0.0
8499,2020-11-25,Alpine,California,41,0.0,Wednesday,29.0,0.0
8905,2020-12-02,Alpine,California,41,0.0,Wednesday,0.0,0.0
9311,2020-12-09,Alpine,California,53,0.0,Wednesday,12.0,0.0
9717,2020-12-16,Alpine,California,64,0.0,Wednesday,11.0,0.0
10123,2020-12-23,Alpine,California,64,0.0,Wednesday,0.0,0.0
10529,2020-12-30,Alpine,California,65,0.0,Wednesday,1.0,0.0
10935,2021-01-06,Alpine,California,70,0.0,Wednesday,5.0,0.0
11341,2021-01-13,Alpine,California,71,0.0,Wednesday,1.0,0.0
11747,2021-01-20,Alpine,California,71,0.0,Wednesday,0.0,0.0
12153,2021-01-27,Alpine,California,72,0.0,Wednesday,1.0,0.0
12559,2021-02-03,Alpine,California,72,0.0,Wednesday,0.0,0.0
12965,2021-02-10,Alpine,California,76,0.0,Wednesday,4.0,0.0
13371,2021-02-17,Alpine,California,76,0.0,Wednesday,0.0,0.0
13777,2021-02-24,Alpine,California,77,0.0,Wednesday,1.0,0.0
14183,2021-03-03,Alpine,California,77,0.0,Wednesday,0.0,0.0
14589,2021-03-10,Alpine,California,78,0.0,Wednesday,1.0,0.0
14995,2021-03-17,Alpine,California,82,0.0,Wednesday,4.0,0.0
15401,2021-03-24,Alpine,California,84,0.0,Wednesday,2.0,0.0
15807,2021-03-31,Alpine,California,88,0.0,Wednesday,4.0,0.0
16213,2021-04-07,Alpine,California,88,0.0,Wednesday,0.0,0.0
16619,2021-04-14,Alpine,California,88,0.0,Wednesday,0.0,0.0
17025,2021-04-21,Alpine,California,88,0.0,Wednesday,0.0,0.0
17431,2021-04-28,Alpine,California,88,0.0,Wednesday,0.0,0.0
17837,2021-05-05,Alpine,California,88,0.0,Wednesday,0.0,0.0
18243,2021-05-12,Alpine,California,88,0.0,Wednesday,0.0,0.0
18649,2021-05-19,Alpine,California,88,0.0,Wednesday,0.0,0.0
19055,2021-05-26,Alpine,California,89,0.0,Wednesday,1.0,0.0
19461,2021-06-02,Alpine,California,89,0.0,Wednesday,0.0,0.0
19867,2021-06-09,Alpine,California,89,0.0,Wednesday,0.0,0.0
20273,2021-06-16,Alpine,California,89,0.0,Wednesday,0.0,0.0
20679,2021-06-23,Alpine,California,89,0.0,Wednesday,0.0,0.0
21085,2021-06-30,Alpine,California,89,0.0,Wednesday,0.0,0.0
2,2020-07-01,Amador,California,22,0.0,Wednesday,0.0,0.0
401,2020-07-08,Amador,California,33,0.0,Wednesday,11.0,0.0
800,2020-07-15,Amador,California,46,0.0,Wednesday,13.0,0.0
1199,2020-07-22,Amador,California,63,0.0,Wednesday,17.0,0.0
1598,2020-07-29,Amador,California,108,0.0,Wednesday,45.0,0.0
2004,2020-08-05,Amador,California,154,0.0,Wednesday,46.0,0.0
2410,2020-08-12,Amador,California,196,10.0,Wednesday,42.0,10.0
2816,2020-08-19,Amador,California,216,13.0,Wednesday,20.0,3.0
3222,2020-08-26,Amador,California,229,14.0,Wednesday,13.0,1.0
3628,2020-09-02,Amador,California,243,15.0,Wednesday,14.0,1.0
4034,2020-09-09,Amador,California,275,16.0,Wednesday,32.0,1.0
4440,2020-09-16,Amador,California,281,16.0,Wednesday,6.0,0.0
4846,2020-09-23,Amador,California,286,16.0,Wednesday,5.0,0.0
5252,2020-09-30,Amador,California,293,16.0,Wednesday,7.0,0.0
5658,2020-10-07,Amador,California,300,16.0,Wednesday,7.0,0.0
6064,2020-10-14,Amador,California,305,16.0,Wednesday,5.0,0.0
6470,2020-10-21,Amador,California,312,16.0,Wednesday,7.0,0.0
6876,2020-10-28,Amador,California,334,16.0,Wednesday,22.0,0.0
7282,2020-11-04,Amador,California,360,16.0,Wednesday,26.0,0.0
7688,2020-11-11,Amador,California,383,16.0,Wednesday,23.0,0.0
8094,2020-11-18,Amador,California,422,16.0,Wednesday,39.0,0.0
8500,2020-11-25,Amador,California,469,16.0,Wednesday,47.0,0.0
8906,2020-12-02,Amador,California,574,16.0,Wednesday,105.0,0.0
9312,2020-12-09,Amador,California,1042,17.0,Wednesday,468.0,1.0
9718,2020-12-16,Amador,California,1668,19.0,Wednesday,626.0,2.0
10124,2020-12-23,Amador,California,1838,23.0,Wednesday,170.0,4.0
10530,2020-12-30,Amador,California,2387,23.0,Wednesday,549.0,0.0
10936,2021-01-06,Amador,California,2694,24.0,Wednesday,307.0,1.0
11342,2021-01-13,Amador,California,2896,28.0,Wednesday,202.0,4.0
11748,2021-01-20,Amador,California,3023,30.0,Wednesday,127.0,2.0
12154,2021-01-27,Amador,California,3112,33.0,Wednesday,89.0,3.0
12560,2021-02-03,Amador,California,3274,34.0,Wednesday,162.0,1.0
12966,2021-02-10,Amador,California,3346,36.0,Wednesday,72.0,2.0
13372,2021-02-17,Amador,California,3412,38.0,Wednesday,66.0,2.0
13778,2021-02-24,Amador,California,3439,40.0,Wednesday,27.0,2.0
14184,2021-03-03,Amador,California,3473,41.0,Wednesday,34.0,1.0
14590,2021-03-10,Amador,California,3493,41.0,Wednesday,20.0,0.0
14996,2021-03-17,Amador,California,3509,44.0,Wednesday,16.0,3.0
15402,2021-03-24,Amador,California,3523,45.0,Wednesday,14.0,1.0
15808,2021-03-31,Amador,California,3550,45.0,Wednesday,27.0,0.0
16214,2021-04-07,Amador,California,3586,45.0,Wednesday,36.0,0.0
16620,2021-04-14,Amador,California,3608,46.0,Wednesday,22.0,1.0
17026,2021-04-21,Amador,California,3630,46.0,Wednesday,22.0,0.0
17432,2021-04-28,Amador,California,3644,47.0,Wednesday,14.0,1.0
17838,2021-05-05,Amador,California,3651,47.0,Wednesday,7.0,0.0
18244,2021-05-12,Amador,California,3657,47.0,Wednesday,6.0,0.0
18650,2021-05-19,Amador,California,3668,47.0,Wednesday,11.0,0.0
19056,2021-05-26,Amador,California,3675,47.0,Wednesday,7.0,0.0
19462,2021-06-02,Amador,California,3686,47.0,Wednesday,11.0,0.0
19868,2021-06-09,Amador,California,3703,47.0,Wednesday,17.0,0.0
20274,2021-06-16,Amador,California,3722,47.0,Wednesday,19.0,0.0
20680,2021-06-23,Amador,California,3742,47.0,Wednesday,20.0,0.0
21086,2021-06-30,Amador,California,3753,47.0,Wednesday,11.0,0.0
3,2020-07-01,Butte,California,189,2.0,Wednesday,0.0,0.0
402,2020-07-08,Butte,California,295,4.0,Wednesday,106.0,2.0
801,2020-07-15,Butte,California,437,4.0,Wednesday,142.0,0.0
1200,2020-07-22,Butte,California,683,5.0,Wednesday,246.0,1.0
1599,2020-07-29,Butte,California,883,7.0,Wednesday,200.0,2.0
2005,2020-08-05,Butte,California,1029,8.0,Wednesday,146.0,1.0
2411,2020-08-12,Butte,California,1305,8.0,Wednesday,276.0,0.0
2817,2020-08-19,Butte,California,1494,14.0,Wednesday,189.0,6.0
3223,2020-08-26,Butte,California,1744,21.0,Wednesday,250.0,7.0
3629,2020-09-02,Butte,California,2208,23.0,Wednesday,464.0,2.0
4035,2020-09-09,Butte,California,2463,28.0,Wednesday,255.0,5.0
4441,2020-09-16,Butte,California,2695,33.0,Wednesday,232.0,5.0
4847,2020-09-23,Butte,California,2776,43.0,Wednesday,81.0,10.0
5253,2020-09-30,Butte,California,2848,45.0,Wednesday,72.0,2.0
5659,2020-10-07,Butte,California,2925,45.0,Wednesday,77.0,0.0
6065,2020-10-14,Butte,California,2992,50.0,Wednesday,67.0,5.0
6471,2020-10-21,Butte,California,3027,51.0,Wednesday,35.0,1.0
6877,2020-10-28,Butte,California,3113,53.0,Wednesday,86.0,2.0
7283,2020-11-04,Butte,California,3211,54.0,Wednesday,98.0,1.0
7689,2020-11-11,Butte,California,3327,56.0,Wednesday,116.0,2.0
8095,2020-11-18,Butte,California,3536,58.0,Wednesday,209.0,2.0
8501,2020-11-25,Butte,California,3853,59.0,Wednesday,317.0,1.0
8907,2020-12-02,Butte,California,4244,60.0,Wednesday,391.0,1.0
9313,2020-12-09,Butte,California,4757,64.0,Wednesday,513.0,4.0
9719,2020-12-16,Butte,California,5668,74.0,Wednesday,911.0,10.0
10125,2020-12-23,Butte,California,6584,83.0,Wednesday,916.0,9.0
10531,2020-12-30,Butte,California,7269,96.0,Wednesday,685.0,13.0
10937,2021-01-06,Butte,California,8096,100.0,Wednesday,827.0,4.0
11343,2021-01-13,Butte,California,8891,116.0,Wednesday,795.0,16.0
11749,2021-01-20,Butte,California,9528,123.0,Wednesday,637.0,7.0
12155,2021-01-27,Butte,California,9943,136.0,Wednesday,415.0,13.0
12561,2021-02-03,Butte,California,10307,142.0,Wednesday,364.0,6.0
12967,2021-02-10,Butte,California,10563,148.0,Wednesday,256.0,6.0
13373,2021-02-17,Butte,California,10748,153.0,Wednesday,185.0,5.0
13779,2021-02-24,Butte,California,10887,160.0,Wednesday,139.0,7.0
14185,2021-03-03,Butte,California,11007,167.0,Wednesday,120.0,7.0
14591,2021-03-10,Butte,California,11092,170.0,Wednesday,85.0,3.0
14997,2021-03-17,Butte,California,11154,184.0,Wednesday,62.0,14.0
15403,2021-03-24,Butte,California,11227,187.0,Wednesday,73.0,3.0
15809,2021-03-31,Butte,California,11296,193.0,Wednesday,69.0,6.0
16215,2021-04-07,Butte,California,11396,193.0,Wednesday,100.0,0.0
16621,2021-04-14,Butte,California,11497,196.0,Wednesday,101.0,3.0
17027,2021-04-21,Butte,California,11619,196.0,Wednesday,122.0,0.0
17433,2021-04-28,Butte,California,11738,196.0,Wednesday,119.0,0.0
17839,2021-05-05,Butte,California,11883,198.0,Wednesday,145.0,2.0
18245,2021-05-12,Butte,California,12008,199.0,Wednesday,125.0,1.0
18651,2021-05-19,Butte,California,12164,191.0,Wednesday,156.0,-8.0
19057,2021-05-26,Butte,California,12295,189.0,Wednesday,131.0,-2.0
19463,2021-06-02,Butte,California,12427,193.0,Wednesday,132.0,4.0
19869,2021-06-09,Butte,California,12540,194.0,Wednesday,113.0,1.0
20275,2021-06-16,Butte,California,12620,194.0,Wednesday,80.0,0.0
20681,2021-06-23,Butte,California,12662,198.0,Wednesday,42.0,4.0
21087,2021-06-30,Butte,California,12669,201.0,Wednesday,7.0,3.0
4,2020-07-01,Calaveras,California,40,0.0,Wednesday,0.0,0.0
403,2020-07-08,Calaveras,California,61,0.0,Wednesday,21.0,0.0
802,2020-07-15,Calaveras,California,75,0.0,Wednesday,14.0,0.0
1201,2020-07-22,Calaveras,California,96,1.0,Wednesday,21.0,1.0
1600,2020-07-29,Calaveras,California,108,1.0,Wednesday,12.0,0.0
2006,2020-08-05,Calaveras,California,136,1.0,Wednesday,28.0,0.0
2412,2020-08-12,Calaveras,California,161,1.0,Wednesday,25.0,0.0
2818,2020-08-19,Calaveras,California,181,1.0,Wednesday,20.0,0.0
3224,2020-08-26,Calaveras,California,223,2.0,Wednesday,42.0,1.0
3630,2020-09-02,Calaveras,California,257,2.0,Wednesday,34.0,0.0
4036,2020-09-09,Calaveras,California,286,2.0,Wednesday,29.0,0.0
4442,2020-09-16,Calaveras,California,305,13.0,Wednesday,19.0,11.0
4848,2020-09-23,Calaveras,California,314,14.0,Wednesday,9.0,1.0
5254,2020-09-30,Calaveras,California,322,14.0,Wednesday,8.0,0.0
5660,2020-10-07,Calaveras,California,329,14.0,Wednesday,7.0,0.0
6066,2020-10-14,Calaveras,California,331,16.0,Wednesday,2.0,2.0
6472,2020-10-21,Calaveras,California,339,17.0,Wednesday,8.0,1.0
6878,2020-10-28,Calaveras,California,347,21.0,Wednesday,8.0,4.0
7284,2020-11-04,Calaveras,California,361,21.0,Wednesday,14.0,0.0
7690,2020-11-11,Calaveras,California,373,21.0,Wednesday,12.0,0.0
8096,2020-11-18,Calaveras,California,405,21.0,Wednesday,32.0,0.0
8502,2020-11-25,Calaveras,California,466,22.0,Wednesday,61.0,1.0
8908,2020-12-02,Calaveras,California,544,22.0,Wednesday,78.0,0.0
9314,2020-12-09,Calaveras,California,657,22.0,Wednesday,113.0,0.0
9720,2020-12-16,Calaveras,California,799,22.0,Wednesday,142.0,0.0
10126,2020-12-23,Calaveras,California,988,22.0,Wednesday,189.0,0.0
10532,2020-12-30,Calaveras,California,1111,22.0,Wednesday,123.0,0.0
10938,2021-01-06,Calaveras,California,1292,22.0,Wednesday,181.0,0.0
11344,2021-01-13,Calaveras,California,1475,22.0,Wednesday,183.0,0.0
11750,2021-01-20,Calaveras,California,1621,23.0,Wednesday,146.0,1.0
12156,2021-01-27,Calaveras,California,1723,23.0,Wednesday,102.0,0.0
12562,2021-02-03,Calaveras,California,1786,23.0,Wednesday,63.0,0.0
12968,2021-02-10,Calaveras,California,1847,23.0,Wednesday,61.0,0.0
13374,2021-02-17,Calaveras,California,1872,25.0,Wednesday,25.0,2.0
13780,2021-02-24,Calaveras,California,1863,25.0,Wednesday,-9.0,0.0
14186,2021-03-03,Calaveras,California,1890,47.0,Wednesday,27.0,22.0
14592,2021-03-10,Calaveras,California,1913,49.0,Wednesday,23.0,2.0
14998,2021-03-17,Calaveras,California,1945,49.0,Wednesday,32.0,0.0
15404,2021-03-24,Calaveras,California,1971,51.0,Wednesday,26.0,2.0
15810,2021-03-31,Calaveras,California,1997,51.0,Wednesday,26.0,0.0
16216,2021-04-07,Calaveras,California,2021,51.0,Wednesday,24.0,0.0
16622,2021-04-14,Calaveras,California,2035,51.0,Wednesday,14.0,0.0
17028,2021-04-21,Calaveras,California,2053,52.0,Wednesday,18.0,1.0
17434,2021-04-28,Calaveras,California,2076,50.0,Wednesday,23.0,-2.0
17840,2021-05-05,Calaveras,California,2108,53.0,Wednesday,32.0,3.0
18246,2021-05-12,Calaveras,California,2129,54.0,Wednesday,21.0,1.0
18652,2021-05-19,Calaveras,California,2145,55.0,Wednesday,16.0,1.0
19058,2021-05-26,Calaveras,California,2159,56.0,Wednesday,14.0,1.0
19464,2021-06-02,Calaveras,California,2174,56.0,Wednesday,15.0,0.0
19870,2021-06-09,Calaveras,California,2195,56.0,Wednesday,21.0,0.0
20276,2021-06-16,Calaveras,California,2201,56.0,Wednesday,6.0,0.0
20682,2021-06-23,Calaveras,California,2201,56.0,Wednesday,0.0,0.0
21088,2021-06-30,Calaveras,California,2210,56.0,Wednesday,9.0,0.0
5,2020-07-01,Colusa,California,59,0.0,Wednesday,0.0,0.0
404,2020-07-08,Colusa,California,98,0.0,Wednesday,39.0,0.0
803,2020-07-15,Colusa,California,140,0.0,Wednesday,42.0,0.0
1202,2020-07-22,Colusa,California,242,2.0,Wednesday,102.0,2.0
1601,2020-07-29,Colusa,California,304,3.0,Wednesday,62.0,1.0
2007,2020-08-05,Colusa,California,359,4.0,Wednesday,55.0,1.0
2413,2020-08-12,Colusa,California,397,5.0,Wednesday,38.0,1.0
2819,2020-08-19,Colusa,California,421,5.0,Wednesday,24.0,0.0
3225,2020-08-26,Colusa,California,434,6.0,Wednesday,13.0,1.0
3631,2020-09-02,Colusa,California,466,6.0,Wednesday,32.0,0.0
4037,2020-09-09,Colusa,California,485,6.0,Wednesday,19.0,0.0
4443,2020-09-16,Colusa,California,499,6.0,Wednesday,14.0,0.0
4849,2020-09-23,Colusa,California,524,6.0,Wednesday,25.0,0.0
5255,2020-09-30,Colusa,California,536,6.0,Wednesday,12.0,0.0
5661,2020-10-07,Colusa,California,541,6.0,Wednesday,5.0,0.0
6067,2020-10-14,Colusa,California,545,6.0,Wednesday,4.0,0.0
6473,2020-10-21,Colusa,California,549,6.0,Wednesday,4.0,0.0
6879,2020-10-28,Colusa,California,553,6.0,Wednesday,4.0,0.0
7285,2020-11-04,Colusa,California,576,6.0,Wednesday,23.0,0.0
7691,2020-11-11,Colusa,California,591,6.0,Wednesday,15.0,0.0
8097,2020-11-18,Colusa,California,618,6.0,Wednesday,27.0,0.0
8503,2020-11-25,Colusa,California,694,6.0,Wednesday,76.0,0.0
8909,2020-12-02,Colusa,California,754,6.0,Wednesday,60.0,0.0
9315,2020-12-09,Colusa,California,895,7.0,Wednesday,141.0,1.0
9721,2020-12-16,Colusa,California,1034,8.0,Wednesday,139.0,1.0
10127,2020-12-23,Colusa,California,1214,8.0,Wednesday,180.0,0.0
10533,2020-12-30,Colusa,California,1351,8.0,Wednesday,137.0,0.0
10939,2021-01-06,Colusa,California,1468,9.0,Wednesday,117.0,1.0
11345,2021-01-13,Colusa,California,1667,9.0,Wednesday,199.0,0.0
11751,2021-01-20,Colusa,California,1796,9.0,Wednesday,129.0,0.0
12157,2021-01-27,Colusa,California,1917,9.0,Wednesday,121.0,0.0
12563,2021-02-03,Colusa,California,1989,11.0,Wednesday,72.0,2.0
12969,2021-02-10,Colusa,California,2056,11.0,Wednesday,67.0,0.0
13375,2021-02-17,Colusa,California,2110,13.0,Wednesday,54.0,2.0
13781,2021-02-24,Colusa,California,2127,13.0,Wednesday,17.0,0.0
14187,2021-03-03,Colusa,California,2140,13.0,Wednesday,13.0,0.0
14593,2021-03-10,Colusa,California,2153,14.0,Wednesday,13.0,1.0
14999,2021-03-17,Colusa,California,2155,14.0,Wednesday,2.0,0.0
15405,2021-03-24,Colusa,California,2158,16.0,Wednesday,3.0,2.0
15811,2021-03-31,Colusa,California,2165,16.0,Wednesday,7.0,0.0
16217,2021-04-07,Colusa,California,2173,16.0,Wednesday,8.0,0.0
16623,2021-04-14,Colusa,California,2189,16.0,Wednesday,16.0,0.0
17029,2021-04-21,Colusa,California,2208,16.0,Wednesday,19.0,0.0
17435,2021-04-28,Colusa,California,2213,16.0,Wednesday,5.0,0.0
17841,2021-05-05,Colusa,California,2221,16.0,Wednesday,8.0,0.0
18247,2021-05-12,Colusa,California,2233,16.0,Wednesday,12.0,0.0
18653,2021-05-19,Colusa,California,2241,17.0,Wednesday,8.0,1.0
19059,2021-05-26,Colusa,California,2254,18.0,Wednesday,13.0,1.0
19465,2021-06-02,Colusa,California,2265,18.0,Wednesday,11.0,0.0
19871,2021-06-09,Colusa,California,2274,18.0,Wednesday,9.0,0.0
20277,2021-06-16,Colusa,California,2279,18.0,Wednesday,5.0,0.0
20683,2021-06-23,Colusa,California,2284,18.0,Wednesday,5.0,0.0
21089,2021-06-30,Colusa,California,2288,18.0,Wednesday,4.0,0.0
6,2020-07-01,Contra Costa,California,3248,77.0,Wednesday,0.0,0.0
405,2020-07-08,Contra Costa,California,4241,86.0,Wednesday,993.0,9.0
804,2020-07-15,Contra Costa,California,5140,92.0,Wednesday,899.0,6.0
1203,2020-07-22,Contra Costa,California,6210,102.0,Wednesday,1070.0,10.0
1602,2020-07-29,Contra Costa,California,7714,109.0,Wednesday,1504.0,7.0
2008,2020-08-05,Contra Costa,California,8324,131.0,Wednesday,610.0,22.0
2414,2020-08-12,Contra Costa,California,10103,149.0,Wednesday,1779.0,18.0
2820,2020-08-19,Contra Costa,California,11886,158.0,Wednesday,1783.0,9.0
3226,2020-08-26,Contra Costa,California,13259,172.0,Wednesday,1373.0,14.0
3632,2020-09-02,Contra Costa,California,14111,183.0,Wednesday,852.0,11.0
4038,2020-09-09,Contra Costa,California,14885,187.0,Wednesday,774.0,4.0
4444,2020-09-16,Contra Costa,California,15544,197.0,Wednesday,659.0,10.0
4850,2020-09-23,Contra Costa,California,16238,204.0,Wednesday,694.0,7.0
5256,2020-09-30,Contra Costa,California,16896,209.0,Wednesday,658.0,5.0
5662,2020-10-07,Contra Costa,California,17322,218.0,Wednesday,426.0,9.0
6068,2020-10-14,Contra Costa,California,17783,231.0,Wednesday,461.0,13.0
6474,2020-10-21,Contra Costa,California,18246,238.0,Wednesday,463.0,7.0
6880,2020-10-28,Contra Costa,California,18766,243.0,Wednesday,520.0,5.0
7286,2020-11-04,Contra Costa,California,19416,247.0,Wednesday,650.0,4.0
7692,2020-11-11,Contra Costa,California,20326,253.0,Wednesday,910.0,6.0
8098,2020-11-18,Contra Costa,California,21758,255.0,Wednesday,1432.0,2.0
8504,2020-11-25,Contra Costa,California,23381,260.0,Wednesday,1623.0,5.0
8910,2020-12-02,Contra Costa,California,25264,261.0,Wednesday,1883.0,1.0
9316,2020-12-09,Contra Costa,California,28391,270.0,Wednesday,3127.0,9.0
9722,2020-12-16,Contra Costa,California,32526,290.0,Wednesday,4135.0,20.0
10128,2020-12-23,Contra Costa,California,36313,308.0,Wednesday,3787.0,18.0
10534,2020-12-30,Contra Costa,California,39736,331.0,Wednesday,3423.0,23.0
10940,2021-01-06,Contra Costa,California,44274,353.0,Wednesday,4538.0,22.0
11346,2021-01-13,Contra Costa,California,49082,395.0,Wednesday,4808.0,42.0
11752,2021-01-20,Contra Costa,California,53349,460.0,Wednesday,4267.0,65.0
12158,2021-01-27,Contra Costa,California,55835,506.0,Wednesday,2486.0,46.0
12564,2021-02-03,Contra Costa,California,58021,531.0,Wednesday,2186.0,25.0
12970,2021-02-10,Contra Costa,California,59751,580.0,Wednesday,1730.0,49.0
13376,2021-02-17,Contra Costa,California,60996,626.0,Wednesday,1245.0,46.0
13782,2021-02-24,Contra Costa,California,62028,655.0,Wednesday,1032.0,29.0
14188,2021-03-03,Contra Costa,California,62931,695.0,Wednesday,903.0,40.0
14594,2021-03-10,Contra Costa,California,63626,713.0,Wednesday,695.0,18.0
15000,2021-03-17,Contra Costa,California,64280,736.0,Wednesday,654.0,23.0
15406,2021-03-24,Contra Costa,California,64801,750.0,Wednesday,521.0,14.0
15812,2021-03-31,Contra Costa,California,65370,767.0,Wednesday,569.0,17.0
16218,2021-04-07,Contra Costa,California,65882,774.0,Wednesday,512.0,7.0
16624,2021-04-14,Contra Costa,California,66666,778.0,Wednesday,784.0,4.0
17030,2021-04-21,Contra Costa,California,67223,782.0,Wednesday,557.0,4.0
17436,2021-04-28,Contra Costa,California,67816,791.0,Wednesday,593.0,9.0
17842,2021-05-05,Contra Costa,California,68279,799.0,Wednesday,463.0,8.0
18248,2021-05-12,Contra Costa,California,68741,806.0,Wednesday,462.0,7.0
18654,2021-05-19,Contra Costa,California,69120,808.0,Wednesday,379.0,2.0
19060,2021-05-26,Contra Costa,California,69496,809.0,Wednesday,376.0,1.0
19466,2021-06-02,Contra Costa,California,69745,813.0,Wednesday,249.0,4.0
19872,2021-06-09,Contra Costa,California,70116,803.0,Wednesday,371.0,-10.0
