date,county,state,cases,deaths
2021-01-03,Kern,California,71033,512.0
2021-01-03,Kings,California,16628,110.0
2021-01-03,Lake,California,1925,24.0
2021-01-03,Lassen,California,4691,10.0
2021-01-03,Los Angeles,California,818959,10773.0
2021-01-03,Madera,California,11039,117.0
2021-01-03,Marin,California,10121,139.0
2021-01-03,Mariposa,California,267,4.0
2021-01-03,Mendocino,California,2626,30.0
2021-01-03,Merced,California,19444,260.0
2021-01-03,Modoc,California,323,1.0
2021-01-03,Mono,California,884,4.0
2021-01-03,Monterey,California,28991,196.0
2021-01-03,Napa,California,5995,29.0
2021-01-03,Nevada,California,2706,50.0
2021-01-03,Orange,California,170802,1901.0
2021-01-03,Placer,California,14182,125.0
2021-01-03,Plumas,California,413,4.0
2021-01-03,Riverside,California,192069,1985.0
2021-01-03,Sacramento,California,67809,857.0
2021-01-03,San Benito,California,3853,29.0
2021-01-03,San Bernardino,California,206939,1447.0
2021-01-03,San Diego,California,168083,1592.0
2021-01-03,San Francisco,California,24417,194.0
2021-01-03,San Joaquin,California,47310,651.0
2021-01-03,San Luis Obispo,California,11467,82.0
2021-01-03,San Mateo,California,25483,227.0
2021-01-03,Santa Barbara,California,18135,160.0
2021-01-03,Santa Clara,California,74359,748.0
2021-01-03,Santa Cruz,California,9340,83.0
2021-01-03,Shasta,California,8154,78.0
2021-01-03,Sierra,California,28,0.0
2021-01-03,Siskiyou,California,1176,11.0
2021-01-03,Solano,California,19810,98.0
2021-01-03,Sonoma,California,19761,196.0
2021-01-03,Stanislaus,California,38927,624.0
2021-01-03,Sutter,California,6621,52.0
2021-01-03,Tehama,California,3146,37.0
2021-01-03,Trinity,California,244,4.0
2021-01-03,Tulare,California,34479,406.0
2021-01-03,Tuolumne,California,2962,21.0
2021-01-03,Ventura,California,43397,263.0
2021-01-03,Yolo,California,8571,117.0
2021-01-03,Yuba,California,3930,19.0
2021-01-04,Alameda,California,55094,656.0
2021-01-04,Alpine,California,68,0.0
2021-01-04,Amador,California,2564,24.0
2021-01-04,Butte,California,7850,96.0
2021-01-04,Calaveras,California,1248,22.0
2021-01-04,Colusa,California,1396,9.0
2021-01-04,Contra Costa,California,42632,347.0
2021-01-04,Del Norte,California,777,2.0
2021-01-04,El Dorado,California,6032,24.0
2021-01-04,Fresno,California,69318,711.0
2021-01-04,Glenn,California,1581,14.0
2021-01-04,Humboldt,California,1910,22.0
2021-01-04,Imperial,California,22951,419.0
2021-01-04,Inyo,California,615,20.0
2021-01-04,Kern,California,72270,518.0
2021-01-04,Kings,California,16870,110.0
2021-01-04,Lake,California,1976,24.0
2021-01-04,Lassen,California,4845,10.0
2021-01-04,Los Angeles,California,827843,10850.0
2021-01-04,Madera,California,11151,117.0
2021-01-04,Marin,California,10121,139.0
2021-01-04,Mariposa,California,277,4.0
2021-01-04,Mendocino,California,2663,31.0
2021-01-04,Merced,California,20402,264.0
2021-01-04,Modoc,California,323,1.0
2021-01-04,Mono,California,893,4.0
2021-01-04,Monterey,California,29352,196.0
2021-01-04,Napa,California,6095,29.0
2021-01-04,Nevada,California,2742,50.0
2021-01-04,Orange,California,180386,1926.0
2021-01-04,Placer,California,14317,125.0
2021-01-04,Plumas,California,416,4.0
2021-01-04,Riverside,California,198236,2096.0
2021-01-04,Sacramento,California,69110,898.0
2021-01-04,San Benito,California,3882,34.0
2021-01-04,San Bernardino,California,208271,1449.0
2021-01-04,San Diego,California,171096,1598.0
2021-01-04,San Francisco,California,24591,194.0
2021-01-04,San Joaquin,California,47886,667.0
2021-01-04,San Luis Obispo,California,11635,88.0
2021-01-04,San Mateo,California,25767,227.0
2021-01-04,Santa Barbara,California,18680,166.0
2021-01-04,Santa Clara,California,74527,748.0
2021-01-04,Santa Cruz,California,9579,83.0
2021-01-04,Shasta,California,8268,78.0
2021-01-04,Sierra,California,30,0.0
2021-01-04,Siskiyou,California,1218,11.0
2021-01-04,Solano,California,20958,100.0
2021-01-04,Sonoma,California,20015,196.0
2021-01-04,Stanislaus,California,39483,631.0
2021-01-04,Sutter,California,6734,54.0
2021-01-04,Tehama,California,3176,37.0
